date,tag,downloads
2026-05-12,v0.4.14,0
2026-05-12,v0.4.13,0
2026-05-12,v0.4.12,0
2026-05-12,v0.4.11,0
2026-05-12,v0.4.10,0
2026-05-12,v0.4.9,0
2026-05-12,v0.4.8,0
2026-05-12,v0.4.7,0
2026-05-12,v0.4.6,0
2026-05-12,v0.4.5,0
2026-05-12,v0.4.4,0
2026-05-12,v0.4.3,1
2026-05-12,v0.4.2,0
2026-05-12,v0.4.1,0
2026-05-12,v0.4.0,0
2026-05-12,v0.3.5,0
2026-05-12,v0.3.4,0
2026-05-12,v0.3.3,0
2026-05-12,v0.3.2,0
2026-05-12,v0.3.1,0
2026-05-12,v0.3.0,0
2026-05-12,v0.2.5,0
2026-05-12,v0.2.3,2
2026-05-12,v0.2.1,0
2026-05-12,v0.2.0,0
2026-05-13,v0.5.0,0
2026-05-13,v0.4.16,0
2026-05-13,v0.4.15,0
2026-05-13,v0.4.14,2
2026-05-13,v0.4.13,0
2026-05-13,v0.4.12,0
2026-05-13,v0.4.11,0
2026-05-13,v0.4.10,0
2026-05-13,v0.4.9,0
2026-05-13,v0.4.8,0
2026-05-13,v0.4.7,0
2026-05-13,v0.4.6,0
2026-05-13,v0.4.5,0
2026-05-13,v0.4.4,0
2026-05-13,v0.4.3,1
2026-05-13,v0.4.2,0
2026-05-13,v0.4.1,0
2026-05-13,v0.4.0,0
2026-05-13,v0.3.5,0
2026-05-13,v0.3.4,0
2026-05-13,v0.3.3,0
2026-05-13,v0.3.2,0
2026-05-13,v0.3.1,0
2026-05-13,v0.3.0,0
2026-05-13,v0.2.5,0
2026-05-13,v0.2.3,2
2026-05-13,v0.2.1,0
2026-05-13,v0.2.0,0
